depth,iterations,learning_rate,retrain_interval,metric,total_return,ann_return,ann_vol,sharpe,sortino,max_dd
3,300,0.05,,sortino,0.29158061894594134,0.13205005813812232,9.355462919594089,0.01411475405044432,0.019239446000185702,-14.313942949791855
3,300,0.05,,sharpe,0.2915806189456305,0.1320500581379891,9.35546291959411,0.014114754050430047,0.019239446000166215,-14.313942949791986
3,300,0.01,,sharpe,0.2915806189458303,0.1320500581380779,9.3554629195941,0.014114754050439557,0.01923944600017918,-14.313942949791997
3,300,0.01,,sortino,0.2915806189457637,0.1320500581380335,9.355462919594128,0.014114754050434768,0.019239446000172647,-14.313942949791922
3,300,0.05,60.0,sharpe,0.29158061894558607,0.13205005813796689,9.355462919594109,0.014114754050427678,0.019239446000163002,-14.313942949792025
3,300,0.05,60.0,sortino,0.2915806189457859,0.1320500581380557,9.3554629195941,0.014114754050437184,0.019239446000175957,-14.313942949791953
3,300,0.01,60.0,sortino,-0.006072030230441783,-0.002752116940774041,9.275183779106998,-0.0002967183191532417,-0.00040358769868197454,-14.567866428587475
3,300,0.01,60.0,sharpe,0.29158061894589693,0.1320500581381001,9.355462919594105,0.014114754050441923,0.019239446000182434,-14.31394294979188
3,600,0.01,,sharpe,0.2915806189458303,0.1320500581380779,9.3554629195941,0.014114754050439557,0.01923944600017918,-14.313942949791997
3,600,0.01,,sortino,0.2915806189457637,0.1320500581380335,9.355462919594128,0.014114754050434768,0.019239446000172647,-14.313942949791922
3,300,0.05,10.0,sortino,0.2908642111074222,0.13172587116601076,9.355490489221724,0.014080060400656656,0.01919210999348752,-14.313942949791954
3,300,0.05,10.0,sharpe,0.2915806189456305,0.1320500581379891,9.355462919594107,0.014114754050430053,0.01923944600016623,-14.313942949791988
3,300,0.05,20.0,sortino,0.2908642111074222,0.13172587116601076,9.355490489221724,0.014080060400656656,0.01919210999348752,-14.313942949791954
3,300,0.05,20.0,sharpe,0.2915806189456305,0.1320500581379891,9.355462919594107,0.014114754050430053,0.01923944600016623,-14.313942949791988
3,600,0.05,,sharpe,0.2915806189456305,0.1320500581379891,9.35546291959411,0.014114754050430047,0.019239446000166215,-14.313942949791986
3,600,0.05,,sortino,0.29158061894594134,0.13205005813812232,9.355462919594089,0.01411475405044432,0.019239446000185702,-14.313942949791855
3,600,0.01,60.0,sharpe,0.2915806189458303,0.1320500581380779,9.355462919594107,0.014114754050439547,0.019239446000179197,-14.313942949791898
3,600,0.01,60.0,sortino,-0.006116661154620395,-0.0027723460193307403,9.275185515678574,-0.0002988992527043719,-0.00040655407943615215,-14.56786642858753
3,300,0.01,20.0,sharpe,0.2915806189456749,0.1320500581380113,9.355462919594112,0.014114754050432419,0.019239446000169462,-14.313942949791997
3,300,0.01,20.0,sortino,0.22342782543633977,0.1012040659101876,9.263885932420507,0.010924580316345127,0.014855860407183221,-14.371558143368674
3,300,0.01,10.0,sharpe,0.2915806189456749,0.1320500581380113,9.355462919594112,0.014114754050432419,0.019239446000169462,-14.313942949791997
3,300,0.01,10.0,sortino,0.22342782543633977,0.1012040659101876,9.263885932420507,0.010924580316345127,0.014855860407183221,-14.371558143368674
5,300,0.01,,sharpe,0.2915806189458525,0.1320500581380779,9.355462919594096,0.014114754050439562,0.01923944600017921,-14.313942949791878
5,300,0.01,,sortino,0.2915806189456305,0.1320500581379891,9.355462919594096,0.01411475405043007,0.019239446000166218,-14.313942949792038
3,600,0.05,60.0,sharpe,0.29158061894558607,0.13205005813796689,9.355462919594109,0.014114754050427678,0.019239446000163002,-14.313942949792025
3,600,0.05,60.0,sortino,0.2915806189457859,0.1320500581380557,9.3554629195941,0.014114754050437184,0.019239446000175957,-14.313942949791953
3,600,0.05,10.0,sharpe,0.2915806189456305,0.1320500581379891,9.355462919594107,0.014114754050430053,0.01923944600016623,-14.313942949791988
3,600,0.05,10.0,sortino,0.2908642111074222,0.13172587116601076,9.355490489221722,0.014080060400656657,0.019192109993487527,-14.313942949791954
3,600,0.01,10.0,sharpe,0.29158061894558607,0.13205005813796689,9.355462919594114,0.01411475405042767,0.019239446000163002,-14.313942949792008
3,600,0.01,10.0,sortino,0.4773325956133334,0.21606336527040249,9.252359985109065,0.023352243710592673,0.03173988880911783,-14.15462508635532
3,600,0.01,20.0,sharpe,0.29158061894558607,0.13205005813796689,9.355462919594114,0.01411475405042767,0.019239446000163002,-14.313942949792008
3,600,0.01,20.0,sortino,0.4773325956133334,0.21606336527040249,9.252359985109065,0.023352243710592673,0.03173988880911783,-14.15462508635532
3,600,0.05,20.0,sharpe,0.2915806189456305,0.1320500581379891,9.355462919594107,0.014114754050430053,0.01923944600016623,-14.313942949791988
3,600,0.05,20.0,sortino,0.2908642111074222,0.13172587116601076,9.355490489221722,0.014080060400656657,0.019192109993487527,-14.313942949791954
5,300,0.05,,sharpe,0.2915806189457859,0.1320500581380557,9.355462919594116,0.01411475405043716,0.019239446000175936,-14.31394294979189
5,300,0.05,,sortino,0.2915806189458081,0.1320500581380557,9.355462919594103,0.014114754050437179,0.01923944600017593,-14.313942949791883
5,300,0.01,60.0,sharpe,0.29158061894558607,0.13205005813796689,9.355462919594103,0.014114754050427685,0.019239446000163002,-14.313942949792025
5,300,0.01,60.0,sortino,0.2909915337540925,0.13178348696438746,9.355485587670863,0.014086226281836025,0.01920052271367606,-14.313942949791974
5,300,0.05,60.0,sharpe,0.2915806189457859,0.1320500581380557,9.355462919594109,0.01411475405043717,0.019239446000175933,-14.313942949791953
5,300,0.05,60.0,sortino,0.29081247129087995,0.13170245795264268,9.355492481273119,0.014077554785733769,0.0191886913365791,-14.313942949791974
5,600,0.01,,sharpe,0.2915806189458525,0.1320500581380779,9.355462919594096,0.014114754050439562,0.01923944600017921,-14.313942949791878
5,600,0.01,,sortino,0.2915806189456305,0.1320500581379891,9.355462919594096,0.01411475405043007,0.019239446000166218,-14.313942949792038
5,300,0.05,10.0,sharpe,0.6974052176037082,0.31548964231127297,9.243742465901855,0.034130077019675235,0.04636049121659354,-13.967218832987893
5,300,0.05,10.0,sortino,-0.36202847311302966,-0.16424754910203676,9.161750303653795,-0.01792752952855889,-0.024083383753448425,-14.871639874089402
5,300,0.05,20.0,sharpe,0.6974052176037082,0.31548964231127297,9.243742465901855,0.034130077019675235,0.04636049121659354,-13.967218832987893
5,300,0.05,20.0,sortino,-0.36202847311302966,-0.16424754910203676,9.161750303653795,-0.01792752952855889,-0.024083383753448425,-14.871639874089402
5,600,0.05,,sharpe,0.2915806189457859,0.1320500581380557,9.355462919594116,0.01411475405043716,0.019239446000175936,-14.31394294979189
5,600,0.05,,sortino,0.2915806189458081,0.1320500581380557,9.355462919594103,0.014114754050437179,0.01923944600017593,-14.313942949791883
5,300,0.01,10.0,sharpe,0.2915806189456971,0.1320500581380113,9.35546291959411,0.01411475405043242,0.01923944600016949,-14.313942949791963
5,300,0.01,10.0,sortino,0.8189613839372889,0.3703563884663641,9.331075286931705,0.039690644119553205,0.054055470271611734,-13.862562691547117
5,300,0.01,20.0,sortino,0.8189613839372889,0.3703563884663641,9.331075286931705,0.039690644119553205,0.054055470271611734,-13.862562691547117
5,300,0.01,20.0,sharpe,0.2915806189456971,0.1320500581380113,9.35546291959411,0.01411475405043242,0.01923944600016949,-14.313942949791963
5,600,0.01,60.0,sortino,0.2909482832434529,0.1317639153312511,9.355487252603439,0.014084131779943788,0.019197664977728058,-14.313942949791954
5,600,0.01,60.0,sharpe,0.29158061894558607,0.13205005813796689,9.355462919594107,0.01411475405042768,0.019239446000163002,-14.313942949792041
5,600,0.05,60.0,sharpe,0.2915806189457637,0.1320500581380335,9.355462919594107,0.0141147540504348,0.019239446000172692,-14.313942949791954
5,600,0.05,60.0,sortino,0.29081247129087995,0.13170245795264268,9.355492481273119,0.014077554785733769,0.0191886913365791,-14.313942949791974
5,600,0.05,10.0,sharpe,0.6974052176037082,0.31548964231127297,9.243742465901853,0.03413007701967524,0.046360491216593566,-13.967218832987893
5,600,0.05,10.0,sortino,-0.3620284731132628,-0.16424754910213668,9.1617503036538,-0.017927529528569783,-0.02408338375346306,-14.871639874089498
5,600,0.05,20.0,sortino,-0.3620284731132628,-0.16424754910213668,9.1617503036538,-0.017927529528569783,-0.02408338375346306,-14.871639874089498
5,600,0.05,20.0,sharpe,0.6974052176037082,0.31548964231127297,9.243742465901853,0.03413007701967524,0.046360491216593566,-13.967218832987893
5,600,0.01,10.0,sharpe,0.29114650693893296,0.13185361507699334,9.355479622690071,0.01409373120296319,0.01921076242200052,-14.313942949791983
5,600,0.01,10.0,sortino,0.7721716792420175,0.34924122677417735,9.324570206820836,0.037453868545995896,0.05100362418335631,-13.902435312087228
5,600,0.01,20.0,sortino,0.7721716792420175,0.34924122677417735,9.324570206820836,0.037453868545995896,0.05100362418335631,-13.902435312087228
5,600,0.01,20.0,sharpe,0.29114650693893296,0.13185361507699334,9.355479622690071,0.01409373120296319,0.01921076242200052,-14.313942949791983
